nom_humed,comuna,dist_rio_m,dist_rio_mayor_m,prox_rio,prox_rio_mayor
Sin información,Santo Domingo,9.0,1892.0,1.0,0.377
Sin información,Santo Domingo,1.0,2201.0,1.0,0.272
Sin información,Santo Domingo,273.0,808.0,0.852,0.746
Sin información,Santo Domingo,48.0,441.0,1.0,0.87
Sin información,Santo Domingo,25.0,25.0,1.0,1.0
Sin información,Santo Domingo,299.0,370.0,0.834,0.895
Sin información,Santo Domingo,25.0,1027.0,1.0,0.671
Sin información,Santo Domingo,30.0,30.0,1.0,1.0
Sin información,Santo Domingo,19.0,1246.0,1.0,0.597
Sin información,San Antonio,617.0,617.0,0.613,0.811
Sin información,San Antonio,641.0,641.0,0.597,0.802
Sin información,San Antonio,741.0,888.0,0.527,0.718
Sin información,San Antonio,658.0,989.0,0.585,0.684
Sin información,San Antonio,105.0,1086.0,0.969,0.651
Sin información,San Antonio,13.0,1219.0,1.0,0.606
Sin información,San Antonio,412.0,1289.0,0.756,0.582
Sin información,San Antonio,721.0,1544.0,0.541,0.495
Sin información,San Antonio,445.0,717.0,0.733,0.776
Sin información,San Antonio,896.0,1537.0,0.419,0.498
Sin información,San Antonio,1109.0,1512.0,0.272,0.506
Sin información,San Antonio,25.0,25.0,1.0,1.0
Sin información,Santo Domingo,80.0,2116.0,0.986,0.301
Sin información,San Antonio,1094.0,1498.0,0.282,0.511
Sin información,San Antonio,999.0,1613.0,0.348,0.472
Sin información,San Antonio,144.0,144.0,0.942,0.971
Sin información,San Antonio,165.0,165.0,0.927,0.964
Sin información,San Antonio,159.0,835.0,0.932,0.736
Sin información,Santo Domingo,32.0,32.0,1.0,1.0
Sin información,San Antonio,4.0,383.0,1.0,0.89
Sin información,Santo Domingo,2909.0,3978.0,0.0,0.0
Sin información,San Antonio,13.0,396.0,1.0,0.886
Sin información,San Antonio,34.0,2361.0,1.0,0.217
Sin información,San Antonio,155.0,155.0,0.934,0.968
Sin información,San Antonio,35.0,35.0,1.0,1.0
Sin información,San Antonio,27.0,27.0,1.0,1.0
Sin información,San Antonio,49.0,49.0,1.0,1.0
Humedal Sector Qda. Los Alamos,San Antonio,24.0,763.0,1.0,0.761
Humedal Sector Industrial,San Antonio,139.0,139.0,0.945,0.973
Sin información,El Tabo,110.0,978.0,0.965,0.688
