nom_humed,comuna,pctl_empirico,expo_met,twi,acc_topo,expo_suelo,prox_drenaje,susc_acumulacion,prioridad_inundacion,clase_prioridad,suelo_fuente,cuenca
Sector Quintero N°10,Quintero,87.5,0.75,0.553,0.014,0.236,0.019,0.206,0.154,Muy Baja,FAO,Costeras Ligua-Aconcagua
Petras Quintero,Quintero,87.5,0.75,0.433,0.037,0.236,0.0,0.176,0.132,Muy Baja,FAO,Costeras Ligua-Aconcagua
Humedal Sector Las Gaviotas,Quintero,87.5,0.75,0.218,0.0,0.0,0.92,0.285,0.213,Muy Baja,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,1.0,0.0,0.0,0.881,0.47,0.353,Alta,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,0.37,0.08,0.0,0.954,0.351,0.263,Baja,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,0.567,0.0,0.0,0.936,0.376,0.282,Baja,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,0.9,0.003,1.0,0.971,0.718,0.539,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,0.646,0.13,0.0,0.986,0.44,0.33,Moderada,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,0.227,0.0,1.0,0.986,0.553,0.415,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,1.0,0.16,1.0,0.954,0.778,0.584,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Des.Estero Mantagua,Quintero,87.5,0.75,0.701,0.0,1.0,1.0,0.675,0.506,Muy Alta,CIREN,Costeras Ligua-Aconcagua
Estero Mantagua,Quintero,87.5,0.75,0.746,1.0,1.0,0.548,0.824,0.618,Muy Alta,CIREN,Costeras Ligua-Aconcagua
