nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,recent_v2_mm,anomaly_v2_pct,z_v2,pctl_empirico,factor_correccion,clim_om_mean_mm,twi,expo_topo,expo_met,expo_comp_w30,expo_comp_w50,expo_comp_w70,en_p90,alta_robusta
Embalse San Juan,Valparaíso,San Antonio,Humedal asociado a límite urbano,17.9126563139,179228.9537,HUR-05-61,56182,5,58.3,27.0,0.4,72.7,0.368,45.89,6.56,0.246,0.454,0.308,0.35,0.392,False,False
Embalse,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.732807763471,7332.88700464,HUR-05-62,56183,5,107.1,147.2,2.08,90.9,0.521,43.32,11.43,0.813,0.818,0.814,0.815,0.816,True,True
Embalse,Valparaíso,Algarrobo,Humedal no asociado a límite urbano,0.408444952391,4087.05347376,HUR-05-63,56184,5,107.1,147.2,2.08,90.9,0.521,43.32,6.44,0.23,0.818,0.406,0.524,0.642,True,False
Embalse Casablanca 1,Valparaíso,Casablanca,Humedal asociado a límite urbano,1.22549523484,12260.5240476,HUR-05-67,56185,5,119.2,175.1,2.47,90.9,0.534,43.32,9.55,0.593,0.818,0.66,0.706,0.75,True,True
Embalses Quintay 2,Valparaíso,Casablanca,Humedal asociado a límite urbano,2.89241579617,28945.1914305,HUR-05-71,56186,5,127.2,193.6,2.73,95.5,0.562,43.32,7.27,0.328,0.91,0.503,0.619,0.735,True,False
Embalses Quintay 1,Valparaíso,Casablanca,Humedal asociado a límite urbano,1.78053449426,17818.4634764,HUR-05-72,56187,5,127.2,193.6,2.73,95.5,0.562,43.32,6.67,0.258,0.91,0.454,0.584,0.714,True,False
Embalse sector Las Tablas,Valparaíso,Valparaíso,Humedal asociado a límite urbano,0.918758071254,9193.10300503,HUR-05-73,56188,5,142.3,228.5,3.22,95.5,0.572,43.32,12.28,0.912,0.91,0.911,0.911,0.911,True,True
Embalse 1 Calle Larga,Valparaíso,Calle Larga,Humedal asociado a límite urbano,1.68463623862,16842.7053535,HUR-05-74,56189,5,63.4,33.6,0.39,77.3,0.391,47.46,9.59,0.599,0.546,0.583,0.572,0.562,False,False
Embalse La Invernada,Valparaíso,Valparaíso,Humedal asociado a límite urbano,1.1778617748,11785.065853,HUR-05-82,56190,5,159.4,288.1,3.94,95.5,0.589,41.07,8.74,0.499,0.91,0.622,0.704,0.787,True,True
Embalse 3 San Esteban.,Valparaíso,San Esteban,Humedal asociado a límite urbano,0.10056085065,1005.3501013,HUR-05-83,56191,5,48.6,2.4,0.03,59.1,0.361,47.46,8.07,0.421,0.182,0.349,0.302,0.254,False,False
