nom_humed,comuna,cuenca,acuifero,sobre_acuifero
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Des.Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Estero Mantagua,Quintero,Costeras Ligua-Aconcagua,Cuencas Costeras V Norte,True
Estero Reñaca,Viña del Mar,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero Limache,Concón,Rio Aconcagua,Rio Aconcagua,True
Estero Limache,Concón,Rio Aconcagua,Rio Aconcagua,True
Estero Limache,Limache,Rio Aconcagua,Rio Aconcagua,True
Estero Limache,Concón,Rio Aconcagua,Rio Aconcagua,True
Estero San Juan,San Antonio,Rio Maipo,Rio Maipo,True
Estero El Jote,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Humedal Estero Guaquen,La Ligua,Costeras Quilimari-Petorca,Cuencas Costeras V Norte,True
Sin identificar,La Ligua,Rio Petorca,Rio Petorca,True
Des. Estero Curaumilla,Valparaíso,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero El Membrillo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero El Membrillo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero San Jeronimo,Algarrobo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero Cartagena,Cartagena,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,Casablanca,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Quisco,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
Estero del Rosario de Cordova,El Tabo,Costeras entre Aconcagua y Maipo,Cuencas Costeras V Sur,True
