nom_humed,region,comuna,tipo,poly_area,shape_area,cod_humed,FID,cut_reg,anomaly_pct,z_score,recent_mm,clim_mean_mm
Sin información,Valparaíso,Limache,Humedal no asociado a límite urbano,1.98780043813,19883.4979085,,58581,05,307.2,4.11,191.2,46.95
Sin información,Valparaíso,Limache,Humedal no asociado a límite urbano,0.326355196003,3264.60650205,,58589,05,359.8,4.96,186.6,40.58
Sin información,Valparaíso,Limache,Humedal no asociado a límite urbano,0.509811756776,5099.87864866,,58590,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Limache,Humedal no asociado a límite urbano,0.343798239424,3439.17046056,,58591,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.511735114939,5118.95207305,,58593,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,1.27381887424,12742.4379118,,58594,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.479721237422,4798.64376504,,58595,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,3.10900904834,31100.001,,58596,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.855736203731,8560.50489917,,58597,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,2.93906388729,29400.001,,58598,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.522296249982,5224.80918805,,58599,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.547998936619,5481.31025108,,58600,05,302.3,3.92,182.0,45.24
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,2.39108756437,23919.4642355,,58601,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.579826139522,5800.001,,58602,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.407799887064,4079.05351254,,58603,05,302.3,3.92,182.0,45.24
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.873619712022,8739.91995615,,58604,05,411.6,5.59,194.2,37.96
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.373971102235,3740.61357507,,58605,05,302.3,3.92,182.0,45.24
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.549763047751,5499.98000005,,58606,05,411.6,5.59,194.2,37.96
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,9.02693090462,90299.7435498,,58607,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,3.25308322208,32538.8359918,,58608,05,302.3,3.92,182.0,45.24
Sin información,Valparaíso,Hijuelas,Humedal no asociado a límite urbano,2.48715228646,24875.0638861,,58609,05,228.5,2.9,168.1,51.17
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.724155770346,7244.0142883,,58610,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Llaillay,Humedal no asociado a límite urbano,0.805188378217,8052.07737705,,58611,05,256.5,3.21,191.2,53.64
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.778931607964,7792.70542563,,58612,05,411.6,5.59,194.2,37.96
Sin información,Valparaíso,Rinconada,Humedal no asociado a límite urbano,0.881664768662,8814.94624092,,58613,05,197.4,2.41,140.4,47.21
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.925784892372,9260.90510887,,58614,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,1.74813752615,17485.6289643,,58615,05,302.3,3.92,182.0,45.24
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,10.4586447431,104626.78287,,58616,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,1.91792491267,19186.1897418,,58617,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Hijuelas,Humedal no asociado a límite urbano,1.86096574988,18612.6666562,,58618,05,228.5,2.9,168.1,51.17
Sin información,Valparaíso,Los Andes,Humedal no asociado a límite urbano,3.30206046733,33005.6349793,,58619,05,199.6,2.17,218.0,72.77
Sin información,Valparaíso,Hijuelas,Humedal no asociado a límite urbano,0.501957685222,5020.32236357,,58620,05,228.5,2.9,168.1,51.17
Sin información,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,1.22830586081,12279.7156318,,58621,05,193.9,2.28,140.4,47.77
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.875155465507,8754.56247591,,58622,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Hijuelas,Humedal no asociado a límite urbano,1.16466444579,11648.2496532,,58623,05,228.5,2.9,168.1,51.17
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.660433237898,6606.80029134,,58624,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.942731927333,9430.56967128,,58625,05,389.3,5.15,194.2,39.69
Sin información,Valparaíso,Llaillay,Humedal no asociado a límite urbano,0.695637354776,6956.55779209,,58626,05,256.5,3.21,191.2,53.64
Sin información,Valparaíso,Quillota,Humedal no asociado a límite urbano,0.519816522532,5199.999,,58627,05,363.5,4.59,181.2,39.09
Sin información,Valparaíso,Quintero,Humedal no asociado a límite urbano,0.863545515763,8639.79341157,,58628,05,412.1,5.33,191.9,37.47
Sin información,Valparaíso,Llaillay,Humedal no asociado a límite urbano,0.78980618297,7898.19707508,,58629,05,294.7,3.59,200.9,50.9
Sin información,Valparaíso,Llaillay,Humedal no asociado a límite urbano,2.33822721165,23382.0181451,,58630,05,262.3,3.19,181.2,50.02
Sin información,Valparaíso,Calle Larga,Humedal no asociado a límite urbano,0.574729541907,5745.99113863,,58631,05,222.4,2.63,153.5,47.61
Sin información,Valparaíso,Hijuelas,Humedal no asociado a límite urbano,2.1918114043,21921.5943638,,58632,05,308.7,3.79,200.9,49.16
Sin información,Valparaíso,Llaillay,Humedal no asociado a límite urbano,2.17947016413,21794.3222115,,58633,05,262.3,3.19,181.2,50.02
